img,box,obj,cls,loss
arabia_53_19v,0.05092339,0.1043297,0.0,0.15525308
arabia_53_19,0.05354179,0.097673066,0.0,0.15121485
syrtismajor_16_34v,0.072865486,0.07451488,0.0,0.14738037
syrtismajor_16_34h,0.070779145,0.07651054,0.0,0.1472897
syrtismajor_16_34,0.07173069,0.07479682,0.0,0.1465275
syrtismajor_16_34vh,0.07337057,0.07301259,0.0,0.14638317
arabia_53_19vh,0.04860247,0.09767351,0.0,0.14627598
arabia_53_19h,0.054228295,0.08998937,0.0,0.14421767
arabia_20_20v,0.0556509,0.08637525,0.0,0.14202616
arabia_20_20vh,0.054056473,0.08763908,0.0,0.14169556
syrtismajor_17_30vh,0.05616146,0.08122112,0.0,0.13738258
syrtismajor_17_30h,0.051566172,0.08526722,0.0,0.1368334
arabia_20_20h,0.05278159,0.08330283,0.0,0.13608442
arabia_20_20,0.05335939,0.08071716,0.0,0.13407655
arabia_35_11vh,0.050895967,0.07858131,0.0,0.12947728
arabia_35_11,0.052132834,0.07649614,0.0,0.12862897
arabia_35_11h,0.05779953,0.069026984,0.0,0.12682651
arabia_35_11v,0.04495181,0.079721,0.0,0.12467281
syrtismajor_11_17h,0.051117033,0.07129167,0.0,0.1224087
syrtismajor_17_30v,0.05723783,0.06506082,0.0,0.12229864
oxiapalus_52_28h,0.062208395,0.05688961,0.0,0.11909801
margaritifersinus_45_0,0.05974257,0.05922578,0.0,0.11896835
syrtismajor_11_17,0.04957462,0.068504795,0.0,0.11807942
syrtismajor_17_30,0.05124377,0.065818556,0.0,0.11706233
elysium_35_28h,0.045965146,0.07080246,0.0,0.1167676
margaritifersinus_45_0h,0.061090924,0.05557106,0.0,0.11666198
syrtismajor_11_17v,0.05036774,0.06591319,0.0,0.11628093
elysium_54_20,0.06807,0.0471871,0.0,0.1152571
elysium_54_20h,0.066574275,0.04864068,0.0,0.11521496
margaritifersinus_18_36v,0.05901102,0.055839363,0.0,0.11485039
margaritifersinus_38_25h,0.05083206,0.06285986,0.0,0.113691926
arabia_40_31h,0.07550384,0.038148582,0.0,0.11365242
elysium_52_19h,0.079298586,0.034009263,0.0,0.11330785
margaritifersinus_18_36,0.058980823,0.054288294,0.0,0.11326912
margaritifersinus_18_36vh,0.058992248,0.05383779,0.0,0.11283004
elysium_52_19,0.07809316,0.034464754,0.0,0.11255792
margaritifersinus_38_25,0.05209869,0.060060386,0.0,0.11215907
elysium_54_20v,0.06549214,0.045095503,0.0,0.11058764
oxiapalus_52_28vh,0.05724427,0.053065512,0.0,0.11030978
arabia_40_31v,0.06220553,0.04760625,0.0,0.10981178
margaritifersinus_45_0v,0.058006164,0.051567122,0.0,0.10957329
oxiapalus_52_28,0.058325678,0.05082972,0.0,0.1091554
lunaepalus_3_37vh,0.06265575,0.046324767,0.0,0.108980514
memnonia_55_5,0.06517954,0.043620378,0.0,0.10879992
elysium_35_28,0.04063872,0.06803865,0.0,0.10867737
lunaepalus_3_37h,0.060245413,0.048287578,0.0,0.108532995
elysium_35_28vh,0.04299625,0.06550928,0.0,0.10850553
elysium_41_39h,0.080103,0.028387738,0.0,0.10849074
lunaepalus_3_37v,0.061156034,0.047177635,0.0,0.10833367
margaritifersinus_18_36h,0.057488292,0.050676305,0.0,0.10816459
amazonis_0_32,0.05914811,0.048357893,0.0,0.10750601
arabia_40_31vh,0.061491143,0.045929078,0.0,0.10742022
syrtismajor_11_17vh,0.049696233,0.05755441,0.0,0.107250646
elysium_41_39,0.07883544,0.027830813,0.0,0.10666625
oxiapalus_52_28v,0.056738377,0.049907673,0.0,0.106646046
elysium_54_20vh,0.06248731,0.043181773,0.0,0.10566908
lunaepalus_3_37,0.059689224,0.045907907,0.0,0.10559713
elysium_41_39vh,0.07752502,0.02806152,0.0,0.10558654
arabia_11_38h,0.061270274,0.043927345,0.0,0.10519762
elysium_35_28v,0.0432602,0.06177125,0.0,0.10503145
arabia_48_26,0.07208496,0.03292887,0.0,0.10501383
margaritifersinus_38_25vh,0.045303,0.05937625,0.0,0.10467925
elysium_41_39v,0.07678374,0.027767416,0.0,0.10455115
sinussabaeus_52_13,0.045627046,0.058818948,0.0,0.104445994
syrtismajor_17_1vh,0.053863663,0.049889393,0.0,0.10375306
margaritifersinus_45_0vh,0.051361836,0.052108087,0.0,0.10346992
arabia_11_39,0.06347915,0.03972155,0.0,0.1032007
syrtismajor_19_4,0.057768416,0.045250546,0.0,0.10301896
elysium_52_19vh,0.07201966,0.030781431,0.0,0.10280109
margaritifersinus_1_22v,0.06452785,0.03823572,0.0,0.10276356
syrtismajor_19_4vh,0.0580312,0.044627614,0.0,0.102658816
syrtismajor_46_2h,0.08119994,0.020652443,0.0,0.10185238
elysium_52_19v,0.07294136,0.02881729,0.0,0.10175865
arabia_11_39h,0.06277359,0.038845316,0.0,0.10161891
arabia_11_39v,0.06046276,0.04111133,0.0,0.10157409
elysium_20_37h,0.055323746,0.045825996,0.0,0.10114974
elysium_20_37,0.053573396,0.04722563,0.0,0.100799024
arabia_62_20h,0.042427815,0.057981953,0.0,0.10040977
elysium_20_37v,0.054129045,0.04622437,0.0,0.10035342
amazonis_0_32v,0.05013562,0.05004882,0.0,0.10018444
margaritifersinus_38_25v,0.04353416,0.05663456,0.0,0.10016872
syrtismajor_19_4h,0.059876412,0.040145095,0.0,0.10002151
memnonia_55_5vh,0.052816164,0.04685436,0.0,0.09967052
margaritifersinus_35_4vh,0.04945103,0.05008639,0.0,0.09953742
margaritifersinus_35_4v,0.047759097,0.051719982,0.0,0.09947908
arabia_48_26h,0.07177192,0.027648304,0.0,0.09942022
amazonis_0_32h,0.060422596,0.03871886,0.0,0.099141456
arabia_11_39vh,0.061287012,0.037407503,0.0,0.09869452
oxiapalus_27_37vh,0.052964002,0.045679137,0.0,0.09864314
amenthes_43_32vh,0.0615775,0.03695322,0.0,0.09853072
elysium_20_37vh,0.058072474,0.040368944,0.0,0.09844142
amenthes_54_38,0.050827473,0.047417406,0.0,0.098244876
amenthes_43_32,0.060218144,0.037964236,0.0,0.09818238
margaritifersinus_46_3,0.041989278,0.056052823,0.0,0.0980421
margaritifersinus_1_22vh,0.055009853,0.04294056,0.0,0.097950414
margaritifersinus_46_3v,0.041596185,0.056047402,0.0,0.097643584
margaritifersinus_35_4,0.047766652,0.049821503,0.0,0.09758815
oxiapalus_54_41v,0.03754969,0.059940085,0.0,0.097489774
oxiapalus_27_37v,0.052379567,0.045089882,0.0,0.09746945
lunaepalus_2_36,0.06269061,0.034692027,0.0,0.097382635
lunaepalus_2_36h,0.05775377,0.039505832,0.0,0.0972596
oxiapalus_27_37h,0.05086973,0.046233967,0.0,0.0971037
syrtismajor_46_2vh,0.07565977,0.021267883,0.0,0.09692765
sinussabaeus_52_13h,0.04406435,0.052847598,0.0,0.09691195
elysium_50_24h,0.05969819,0.03708714,0.0,0.09678533
oxiapalus_27_37,0.05228457,0.04417806,0.0,0.09646263
amenthes_43_32h,0.058517165,0.037882674,0.0,0.09639984
margaritifersinus_46_3h,0.04545321,0.050622087,0.0,0.0960753
amenthes_54_40,0.061422795,0.03442808,0.0,0.09585087
elysium_19_35h,0.0544963,0.041328613,0.0,0.09582491
oxiapalus_50_24,0.058268398,0.037460387,0.0,0.095728785
amenthes_43_32v,0.058995236,0.036666274,0.0,0.095661506
arabia_16_21v,0.06612026,0.029312003,0.0,0.09543227
arabia_40_31,0.049792234,0.045638,0.0,0.09543023
margaritifersinus_6_24vh,0.074173115,0.021107096,0.0,0.095280215
syrtismajor_18_15vh,0.0582091,0.037031014,0.0,0.095240116
arabia_45_12v,0.040218856,0.05494128,0.0,0.09516014
arabia_11_38,0.059005767,0.03607201,0.0,0.095077775
syrtismajor_17_1v,0.053935047,0.041038174,0.0,0.09497322
margaritifersinus_35_4h,0.043824967,0.051127393,0.0,0.09495236
syrtismajor_46_2,0.07569262,0.019216143,0.0,0.09490876
margaritifersinus_20_34h,0.056303002,0.038567718,0.0,0.09487072
syrtismajor_31_0vh,0.047922265,0.046830736,0.0,0.094753
arabia_48_26vh,0.07032303,0.024419708,0.0,0.09474274
oxiapalus_40_26,0.05418371,0.040497456,0.0,0.094681166
arabia_45_12,0.04734519,0.04729521,0.0,0.094640404
syrtismajor_18_15h,0.059478283,0.035131015,0.0,0.0946093
arabia_16_21vh,0.062944785,0.031509727,0.0,0.09445451
margaritifersinus_46_3vh,0.043682482,0.05071182,0.0,0.094394304
syrtismajor_24_0,0.07096437,0.023372885,0.0,0.094337255
amenthes_48_35h,0.05728196,0.037018783,0.0,0.09430075
coprates_23_18h,0.057259012,0.036938705,0.0,0.09419772
tharsis_11_34h,0.065438814,0.028495632,0.0,0.09393445
