img,box,obj,cls,loss
-13_178_vh,0.034207787,0.119987085,0.0,0.15419488
-13_178_v,0.029880956,0.12119334,0.0,0.15107429
-10_137_h,0.021205863,0.12261242,0.0,0.14381827
-10_137,0.02303027,0.105903484,0.0,0.12893376
-22_171,0.035006776,0.090328224,0.0,0.12533501
-22_171_h,0.034059577,0.08998418,0.0,0.124043755
-22_171_v,0.033519667,0.0893904,0.0,0.12291007
-22_171_vh,0.03133006,0.084111206,0.0,0.11544126
-23_149_vh,0.03315463,0.080013275,0.0,0.113167904
-12_166,0.026216198,0.084962904,0.0,0.1111791
-23_149_v,0.03200102,0.075834595,0.0,0.10783561
-24_155_v,0.02980556,0.0767948,0.0,0.10660036
-12_166_h,0.026927352,0.07937463,0.0,0.10630198
-25_168_h,0.031483006,0.0725963,0.0,0.104079306
-24_155_vh,0.031113436,0.07159731,0.0,0.102710746
-25_168,0.031657707,0.06976864,0.0,0.10142635
-12_166_vh,0.024658054,0.071337126,0.0,0.09599518
-14_160_h,0.024851706,0.07070951,0.0,0.09556122
-12_166_v,0.023108402,0.072132826,0.0,0.095241226
-25_136_v,0.03441338,0.06073321,0.0,0.09514659
-14_150,0.022284754,0.07217829,0.0,0.09446304
-25_136_vh,0.034331493,0.05991446,0.0,0.094245955
-14_160,0.026286623,0.06767024,0.0,0.093956865
-11_166_h,0.021733722,0.07140041,0.0,0.093134135
-11_166,0.021082394,0.071758516,0.0,0.09284091
-16_177,0.026804615,0.06383207,0.0,0.090636685
-14_150_h,0.02174122,0.068698354,0.0,0.09043957
-2_179,0.028141052,0.062237874,0.0,0.090378925
-11_166_v,0.019946,0.070406415,0.0,0.090352416
-11_162_vh,0.02494656,0.06526679,0.0,0.09021334
-14_160_v,0.024684353,0.06475462,0.0,0.089438975
-10_135_vh,0.036651265,0.05218955,0.0,0.08884081
-13_150_vh,0.031615667,0.057166778,0.0,0.088782445
-11_166_vh,0.020973952,0.067792244,0.0,0.088766195
-14_178,0.020157857,0.068551205,0.0,0.088709064
-14_160_vh,0.024326036,0.06428397,0.0,0.08861
-17_166_v,0.026141165,0.061068457,0.0,0.08720962
-17_145_vh,0.028277654,0.05880585,0.0,0.0870835
-28_144_vh,0.03147639,0.055540264,0.0,0.08701666
-16_177_h,0.024445802,0.062364336,0.0,0.08681014
-2_179_h,0.028170496,0.058611427,0.0,0.08678192
-28_144_v,0.029998545,0.056738637,0.0,0.086737186
-11_162_v,0.023300402,0.06338646,0.0,0.086686864
-10_135,0.03514974,0.050912466,0.0,0.08606221
-13_150,0.029857576,0.056021903,0.0,0.085879475
-10_135_v,0.036163498,0.04961221,0.0,0.0857757
-17_141_vh,0.023601789,0.06215974,0.0,0.08576153
-13_150_h,0.030363297,0.054740198,0.0,0.0851035
-17_171_vh,0.02270951,0.061682474,0.0,0.08439198
-25_168_v,0.028154088,0.055816896,0.0,0.08397099
-17_171_h,0.02210295,0.06163689,0.0,0.08373984
-17_171_v,0.02344206,0.06021003,0.0,0.083652094
-25_179_vh,0.03115902,0.05243777,0.0,0.08359679
-17_141_v,0.02357635,0.059987422,0.0,0.083563775
-25_175_vh,0.031237593,0.052083246,0.0,0.08332084
-14_178_h,0.019475596,0.06377634,0.0,0.08325193
-13_178_h,0.023344884,0.059882708,0.0,0.08322759
-12_154_h,0.024786873,0.058377594,0.0,0.08316447
-17_145_h,0.027678996,0.055352964,0.0,0.08303196
-11_144_h,0.020174077,0.062833846,0.0,0.083007924
-13_150_v,0.030617952,0.05231504,0.0,0.082932994
-10_135_h,0.03506346,0.047760546,0.0,0.08282401
-14_161_h,0.032077517,0.050675124,0.0,0.082752645
-13_178,0.023228658,0.059292454,0.0,0.08252111
-12_154,0.024229696,0.057641305,0.0,0.081871
-25_168_vh,0.028073603,0.05367075,0.0,0.08174435
-23_175_h,0.025575755,0.055698354,0.0,0.08127411
-28_169_v,0.030911297,0.050307885,0.0,0.08121918
-17_169_h,0.024421789,0.056737084,0.0,0.08115888
-11_144,0.018952755,0.062083583,0.0,0.08103634
-14_161,0.032622345,0.048315357,0.0,0.0809377
-25_175_v,0.03180315,0.04901343,0.0,0.08081658
-13_143_v,0.01947319,0.061308987,0.0,0.080782175
-17_145,0.027246285,0.053372435,0.0,0.080618724
-10_142_v,0.019800356,0.060747158,0.0,0.08054751
-17_145_v,0.028420955,0.051688354,0.0,0.08010931
-17_163_vh,0.029510155,0.05049361,0.0,0.08000377
-14_178_v,0.018527595,0.060876254,0.0,0.07940385
-18_142_vh,0.029099433,0.050119426,0.0,0.07921886
-14_178_vh,0.018728612,0.06000042,0.0,0.07872903
17_171_vh,0.03019467,0.04833339,0.0,0.07852806
-13_143_vh,0.018715607,0.059714638,0.0,0.07843024
-14_173_v,0.017821003,0.06060287,0.0,0.07842387
-14_150_vh,0.018491862,0.059821833,0.0,0.07831369
-27_155,0.02611347,0.052182935,0.0,0.07829641
-23_143_vh,0.030333078,0.047926426,0.0,0.078259505
-17_166_vh,0.024026651,0.054050904,0.0,0.078077555
