img,box,obj,cls,loss
-11_166_v,0.04173596,0.37317535,0.0,0.4149113
-11_166,0.040819515,0.31032145,0.0,0.35114098
-11_166_vh,0.03772889,0.31000665,0.0,0.34773552
-22_171_v,0.0593928,0.26886868,0.0,0.3282615
-12_166_v,0.043134924,0.2818406,0.0,0.32497552
-11_166_h,0.038704257,0.28579566,0.0,0.3244999
-10_137_v,0.048277818,0.2748817,0.0,0.32315952
-12_166,0.04214758,0.27543637,0.0,0.31758395
-10_137,0.046080716,0.26917592,0.0,0.31525663
-12_166_vh,0.041117497,0.27364206,0.0,0.31475955
-12_166_h,0.042374443,0.2664323,0.0,0.30880672
-22_171_vh,0.055053588,0.2523159,0.0,0.3073695
-22_171,0.05362491,0.25095037,0.0,0.30457526
-14_160,0.052028667,0.25079805,0.0,0.3028267
-10_137_vh,0.045889672,0.25139266,0.0,0.29728234
-10_137_h,0.046690267,0.24459659,0.0,0.29128686
-22_171_h,0.051909562,0.23858447,0.0,0.29049402
-14_160_vh,0.051178373,0.2386033,0.0,0.28978166
-14_160_v,0.051971253,0.2348935,0.0,0.28686476
-14_178_v,0.036538687,0.24825472,0.0,0.2847934
-14_160_h,0.049395006,0.234368,0.0,0.283763
-14_178_h,0.03393293,0.24686976,0.0,0.2808027
-14_178_vh,0.034813598,0.23553587,0.0,0.27034947
-13_169_h,0.04450464,0.22473139,0.0,0.26923603
-17_174_vh,0.042449404,0.22192864,0.0,0.26437804
-13_169_vh,0.03694332,0.22539489,0.0,0.26233822
-13_169,0.04318944,0.2169031,0.0,0.26009256
-15_169_v,0.05525297,0.20276393,0.0,0.25801688
-15_169_vh,0.048467945,0.20544583,0.0,0.25391376
-17_174_v,0.04239473,0.20968182,0.0,0.25207657
-13_137_h,0.03888048,0.21192484,0.0,0.25080532
-13_169_v,0.04610052,0.20265031,0.0,0.24875084
-11_165_v,0.031464994,0.21614766,0.0,0.24761266
-14_178,0.03689424,0.2031547,0.0,0.24004894
-13_137_vh,0.035699334,0.20089653,0.0,0.23659587
-15_172_v,0.031048322,0.2045861,0.0,0.23563443
-15_169_h,0.052655805,0.1817935,0.0,0.2344493
-17_174_h,0.041736346,0.1918786,0.0,0.23361495
-13_137_v,0.036728255,0.19369087,0.0,0.23041913
-15_169,0.053429693,0.17438903,0.0,0.22781873
-13_178,0.035566606,0.19158727,0.0,0.22715387
-13_178_h,0.03341758,0.19278833,0.0,0.22620592
-11_165_vh,0.03129923,0.19475509,0.0,0.22605433
-14_150_h,0.03577909,0.18989661,0.0,0.2256757
-14_173_h,0.03244808,0.19146867,0.0,0.22391675
-13_178_vh,0.042225506,0.1811292,0.0,0.22335471
-14_150,0.034682285,0.18810114,0.0,0.22278343
-13_143,0.035692614,0.1869938,0.0,0.22268641
-13_143_h,0.034754377,0.18542373,0.0,0.22017811
-13_178_v,0.043278493,0.1768566,0.0,0.2201351
-17_174,0.042319406,0.17768842,0.0,0.22000782
-14_173_vh,0.032446723,0.18685561,0.0,0.21930234
-17_171,0.04302298,0.17549784,0.0,0.21852082
-17_171_v,0.0417831,0.17619154,0.0,0.21797463
-13_143_vh,0.037740838,0.17993288,0.0,0.21767372
-11_165_h,0.031438366,0.18558975,0.0,0.21702811
-17_171_h,0.04188472,0.17485838,0.0,0.2167431
-14_166,0.040863723,0.17580716,0.0,0.21667089
-15_172_h,0.030754471,0.1849065,0.0,0.21566097
-13_137,0.03804284,0.1759249,0.0,0.21396774
-13_143_v,0.037679136,0.17594205,0.0,0.21362118
-11_144_v,0.03398593,0.1786998,0.0,0.21268573
-11_164,0.054543175,0.15810007,0.0,0.21264324
-16_143_v,0.048039056,0.16417974,0.0,0.21221879
-14_150_vh,0.035424586,0.1758389,0.0,0.2112635
-25_168_v,0.051816043,0.15942723,0.0,0.21124327
-14_150_v,0.03408248,0.17699358,0.0,0.21107605
-16_143_vh,0.049131043,0.16191606,0.0,0.21104711
-12_154_vh,0.042635325,0.16829532,0.0,0.21093065
-15_172_vh,0.032545812,0.1780773,0.0,0.21062312
-25_168_vh,0.05046894,0.1592293,0.0,0.20969823
-10_141_h,0.033606265,0.17552015,0.0,0.20912641
-27_173_vh,0.045560073,0.16314594,0.0,0.20870602
-17_166_v,0.049186517,0.15833676,0.0,0.20752327
-14_166_h,0.04272583,0.16465305,0.0,0.20737888
-29_140_v,0.045070205,0.16197842,0.0,0.20704862
-16_143_h,0.046989974,0.15967432,0.0,0.2066643
-29_140_vh,0.04566567,0.16056232,0.0,0.20622799
-11_164_v,0.06396028,0.14089671,0.0,0.20485699
-10_135,0.051347878,0.1526062,0.0,0.20395409
-27_173_v,0.045627426,0.15825711,0.0,0.20388454
-11_164_vh,0.06415991,0.13921374,0.0,0.20337364
-17_166_vh,0.048399974,0.15454625,0.0,0.20294622
-17_171_vh,0.039123498,0.16327226,0.0,0.20239577
-14_166_vh,0.041496668,0.16079804,0.0,0.2022947
-10_141,0.03126898,0.17071456,0.0,0.20198354
-17_166,0.04316316,0.15857744,0.0,0.20174061
-10_135_h,0.051120218,0.15051861,0.0,0.20163883
-12_154_v,0.042543728,0.15909311,0.0,0.20163684
-17_169_vh,0.03528021,0.16616748,0.0,0.2014477
-14_173_v,0.03262862,0.16827801,0.0,0.20090663
-25_168,0.049021076,0.15184924,0.0,0.20087032
-11_144_h,0.039224956,0.16075121,0.0,0.19997616
-10_135_vh,0.051993158,0.14757979,0.0,0.19957295
-10_135_v,0.052741673,0.14648685,0.0,0.19922853
-25_168_h,0.04830659,0.15066317,0.0,0.19896975
-14_166_v,0.043362837,0.15471035,0.0,0.1980732
-25_179_vh,0.05726666,0.14074518,0.0,0.19801185
-17_166_h,0.041625734,0.1560558,0.0,0.19768153
-15_172,0.031828936,0.16450973,0.0,0.19633867
-25_179,0.056888975,0.13922025,0.0,0.19610924
-11_144,0.040921394,0.15480973,0.0,0.19573112
-29_140_h,0.047066994,0.14633206,0.0,0.19339904
-11_164_h,0.06493976,0.12843521,0.0,0.19337496
-16_143,0.043985408,0.14933845,0.0,0.19332387
-11_165,0.031968366,0.1612814,0.0,0.19324978
-27_173,0.04081213,0.15216196,0.0,0.19297409
-14_169_h,0.030701188,0.16084588,0.0,0.19154707
-14_173,0.03161554,0.1591661,0.0,0.19078164
-27_155_h,0.04704208,0.14261049,0.0,0.18965256
-10_153,0.0365644,0.1529792,0.0,0.18954359
-19_147_h,0.036477614,0.15284678,0.0,0.1893244
-27_173_h,0.042030323,0.14729169,0.0,0.18932201
